| 방법 | 배포 모드 | 게인 | h_plan | h_PD | F_τ | F_τ hip | F_τ knee |
| PPO | PD그대로 | 150_2.2_500_4 | 1.230 | 1.214 | 77.9% | 81.7% | 74.3% |
| PPO | PD그대로 | 60_1.5_60_1.5 | 1.230 | 0.939 | 91.9% | 92.8% | 91.1% |
| PPO | PD그대로 | 90_1.5_90_2.5 | 1.230 | 1.048 | 87.5% | 91.9% | 83.3% |
| PPO | 성형 | 120_2.2_150_2.5 | 1.230 | 1.174 | 24.5% | 19.5% | 28.2% |
| PPO | 성형 | 120_2.2_200_2.8 | 1.230 | 1.176 | 27.0% | 21.1% | 31.5% |
| PPO | 성형 | 120_2_120_2 | 1.230 | 1.165 | 22.7% | 18.6% | 25.9% |
| PPO | 성형 | 150_2.2_250_3 | 1.230 | 1.191 | 25.6% | 21.4% | 28.8% |
| PPO | 성형 | 150_2.2_350_3.5 | 1.230 | 1.193 | 26.9% | 22.4% | 30.5% |
| PPO | 성형 | 150_2.2_500_4 | 1.230 | 1.201 | 28.3% | 23.2% | 32.3% |
| PPO | 성형 | 60_1.5_60_1.5 | 1.230 | 1.097 | 21.5% | 16.8% | 25.0% |
| PPO | 성형 | 90_1.5_90_2.5 | 1.230 | 1.147 | 20.8% | 17.0% | 23.7% |
| PPO(best) | FF+PD | 120_2.2_150_2.5 | 1.246 | 1.250 | 4.2% | 4.7% | 3.8% |
| PPO(best) | FF+PD | 120_2.2_200_2.8 | 1.246 | 1.251 | 4.1% | 4.6% | 3.7% |
| PPO(best) | FF+PD | 120_2_120_2 | 1.246 | 1.249 | 4.2% | 4.7% | 3.8% |
| PPO(best) | FF+PD | 150_2.2_250_3 | 1.246 | 1.253 | 4.2% | 4.8% | 3.6% |
| PPO(best) | FF+PD | 150_2.2_350_3.5 | 1.246 | 1.257 | 7.5% | 6.5% | 8.3% |
| PPO(best) | FF+PD | 150_2.2_500_4 | 1.246 | 1.257 | 3.4% | 4.1% | 2.5% |
| PPO(best) | FF+PD | 60_1.5_60_1.5 | 1.246 | 1.246 | 3.9% | 4.2% | 3.7% |
| PPO(best) | FF+PD | 90_1.5_90_2.5 | 1.246 | 1.248 | 4.0% | 4.4% | 3.7% |
| PPO(best) | PD그대로 | 120_2.2_150_2.5 | 1.246 | 1.168 | 85.4% | 86.8% | 84.1% |
| PPO(best) | PD그대로 | 120_2.2_200_2.8 | 1.246 | 1.189 | 84.7% | 85.7% | 83.8% |
| PPO(best) | PD그대로 | 120_2_120_2 | 1.246 | 1.152 | 88.1% | 89.7% | 86.7% |
| PPO(best) | PD그대로 | 150_2.2_250_3 | 1.246 | 1.221 | 83.2% | 85.2% | 81.4% |
| PPO(best) | PD그대로 | 150_2.2_350_3.5 | 1.246 | 1.221 | 80.8% | 84.2% | 77.7% |
| PPO(best) | PD그대로 | 150_2.2_500_4 | 1.246 | 1.221 | 79.2% | 83.5% | 75.1% |
| PPO(best) | PD그대로 | 60_1.5_60_1.5 | 1.246 | 0.950 | 92.4% | 93.7% | 91.2% |
| PPO(best) | PD그대로 | 90_1.5_90_2.5 | 1.246 | 1.058 | 88.1% | 93.0% | 83.5% |
| PPO(best) | 성형 | 120_2.2_150_2.5 | 1.246 | 1.192 | 23.3% | 18.6% | 26.7% |
| PPO(best) | 성형 | 120_2.2_200_2.8 | 1.246 | 1.198 | 25.6% | 19.9% | 29.6% |
| PPO(best) | 성형 | 120_2_120_2 | 1.246 | 1.183 | 22.6% | 18.2% | 25.8% |
| PPO(best) | 성형 | 150_2.2_250_3 | 1.246 | 1.211 | 24.1% | 20.3% | 27.0% |
| PPO(best) | 성형 | 150_2.2_350_3.5 | 1.246 | 1.218 | 23.8% | 20.7% | 26.1% |
| PPO(best) | 성형 | 150_2.2_500_4 | 1.246 | 1.221 | 25.1% | 21.3% | 27.9% |
| PPO(best) | 성형 | 60_1.5_60_1.5 | 1.246 | 1.115 | 20.8% | 15.6% | 24.4% |
| PPO(best) | 성형 | 90_1.5_90_2.5 | 1.246 | 1.164 | 20.0% | 15.9% | 22.9% |
| iLQR(엄격18) | FF+PD | 120_2.2_150_2.5 | 1.379 | 1.387 | 21.0% | 13.6% | 36.2% |
| iLQR(엄격18) | FF+PD | 120_2.2_200_2.8 | 1.379 | 1.388 | 23.7% | 14.2% | 42.1% |
| iLQR(엄격18) | FF+PD | 120_2_120_2 | 1.379 | 1.386 | 19.5% | 13.2% | 32.7% |
| iLQR(엄격18) | FF+PD | 150_2.2_250_3 | 1.379 | 1.388 | 27.5% | 16.2% | 49.2% |
| iLQR(엄격18) | FF+PD | 150_2.2_350_3.5 | 1.379 | 1.390 | 32.8% | 17.7% | 60.3% |
| iLQR(엄격18) | FF+PD | 150_2.2_500_4 | 1.379 | 1.389 | 38.7% | 19.3% | 72.5% |
| iLQR(엄격18) | FF+PD | 60_1.5_60_1.5 | 1.379 | 1.388 | 14.1% | 9.8% | 23.3% |
| iLQR(엄격18) | FF+PD | 90_1.5_90_2.5 | 1.379 | 1.388 | 15.8% | 11.1% | 25.9% |
| iLQR(엄격18) | PD그대로 | 120_2.2_150_2.5 | 1.379 | 1.069 | 66.5% | 59.0% | 84.1% |
| iLQR(엄격18) | PD그대로 | 120_2.2_200_2.8 | 1.379 | 1.227 | 65.9% | 58.9% | 82.7% |
| iLQR(엄격18) | PD그대로 | 120_2_120_2 | 1.379 | 0.878 | 68.4% | 60.1% | 87.7% |
| iLQR(엄격18) | PD그대로 | 150_2.2_250_3 | 1.379 | 1.303 | 65.3% | 57.7% | 83.3% |
| iLQR(엄격18) | PD그대로 | 150_2.2_350_3.5 | 1.379 | 1.346 | 64.6% | 57.5% | 81.3% |
| iLQR(엄격18) | PD그대로 | 150_2.2_500_4 | 1.379 | 1.348 | 64.5% | 57.2% | 81.7% |
| iLQR(엄격18) | PD그대로 | 60_1.5_60_1.5 | 1.379 | 0.681 | 74.0% | 67.7% | 87.9% |
| iLQR(엄격18) | PD그대로 | 90_1.5_90_2.5 | 1.379 | 0.729 | 68.9% | 65.2% | 78.0% |
| iLQR(엄격18) | 성형 | 120_2.2_150_2.5 | 1.379 | 1.386 | 35.7% | 27.4% | 55.2% |
| iLQR(엄격18) | 성형 | 120_2.2_200_2.8 | 1.379 | 1.387 | 32.6% | 27.2% | 46.4% |
| iLQR(엄격18) | 성형 | 120_2_120_2 | 1.379 | 1.390 | 38.2% | 27.9% | 61.3% |
| iLQR(엄격18) | 성형 | 150_2.2_250_3 | 1.379 | 1.387 | 28.3% | 24.6% | 37.9% |
| iLQR(엄격18) | 성형 | 150_2.2_350_3.5 | 1.379 | 1.394 | 25.2% | 24.7% | 27.0% |
| iLQR(엄격18) | 성형 | 150_2.2_500_4 | 1.379 | 1.391 | 24.1% | 23.9% | 24.7% |
| iLQR(엄격18) | 성형 | 60_1.5_60_1.5 | 1.379 | 1.383 | 47.2% | 34.1% | 76.2% |
