t,q1_des,q2_des,dq1_des,dq2_des
2.090000,-0.724177,-2.509847,-0.889400,0.874221
2.100000,-0.733079,-2.500634,-0.890945,0.968314
2.110000,-0.741995,-2.490484,-0.892173,1.061451
2.120000,-0.750922,-2.479408,-0.893082,1.153541
2.130000,-0.759856,-2.467417,-0.893674,1.244492
2.140000,-0.768794,-2.454522,-0.893948,1.334215
2.150000,-0.777734,-2.440737,-0.893907,1.422621
2.160000,-0.786671,-2.426075,-0.893550,1.509624
2.170000,-0.795604,-2.410550,-0.892880,1.595136
2.180000,-0.804528,-2.394177,-0.891897,1.679075
2.190000,-0.813440,-2.376974,-0.890603,1.761356
2.200000,-0.822339,-2.358956,-0.889001,1.841899
2.210000,-0.831219,-2.340142,-0.887091,1.920624
2.220000,-0.840080,-2.320550,-0.884877,1.997454
2.230000,-0.848916,-2.300199,-0.882360,2.072313
2.240000,-0.857726,-2.279110,-0.879543,2.145126
2.250000,-0.866506,-2.257304,-0.876430,2.215823
2.260000,-0.875253,-2.234801,-0.873022,2.284333
2.270000,-0.883965,-2.211625,-0.869322,2.350588
2.280000,-0.892639,-2.187797,-0.865335,2.414524
2.290000,-0.901271,-2.163342,-0.861063,2.476077
2.300000,-0.909859,-2.138284,-0.856509,2.535186
2.310000,-0.918400,-2.112647,-0.851678,2.591793
2.320000,-0.926892,-2.086456,-0.846573,2.645842
2.330000,-0.935331,-2.059739,-0.841198,2.697281
2.340000,-0.943715,-2.032520,-0.835556,2.746057
2.350000,-0.952041,-2.004826,-0.829653,2.792124
2.360000,-0.960307,-1.976686,-0.823492,2.835435
2.370000,-0.968510,-1.948127,-0.817078,2.875947
2.380000,-0.976648,-1.919177,-0.810414,2.913622
2.390000,-0.984718,-1.889864,-0.803506,2.948421
2.400000,-0.992717,-1.860218,-0.796359,2.980310
2.410000,-1.000644,-1.830268,-0.788976,3.009258
2.420000,-1.008496,-1.800043,-0.781362,3.035237
2.430000,-1.016270,-1.769573,-0.773523,3.058220
2.440000,-1.023966,-1.738889,-0.765463,3.078184
2.450000,-1.031579,-1.708020,-0.757188,3.095111
2.460000,-1.039109,-1.676997,-0.748702,3.108984
2.470000,-1.046552,-1.645850,-0.740010,3.119788
2.480000,-1.053908,-1.614611,-0.731117,3.127514
2.490000,-1.061174,-1.583310,-0.722029,3.132153
2.500000,-1.068348,-1.551978,-0.712751,3.133701
2.510000,-1.075428,-1.520646,-0.703287,3.132156
2.520000,-1.082413,-1.489345,-0.693644,3.127520
2.530000,-1.089301,-1.458106,-0.683826,3.119798
2.540000,-1.096089,-1.426960,-0.673838,3.108997
2.550000,-1.102777,-1.395937,-0.663686,3.095128
2.560000,-1.109362,-1.365067,-0.653375,3.078204
2.570000,-1.115844,-1.334383,-0.642910,3.058243
2.580000,-1.122220,-1.303913,-0.632297,3.035263
2.590000,-1.128489,-1.273687,-0.621540,3.009288
2.600000,-1.134650,-1.243737,-0.610645,2.980343
2.610000,-1.140702,-1.214090,-0.599617,2.948457
2.620000,-1.146642,-1.184777,-0.588460,2.913661
2.630000,-1.152471,-1.155827,-0.577181,2.875989
2.640000,-1.158186,-1.127267,-0.565783,2.835480
2.650000,-1.163786,-1.099126,-0.554273,2.792172
2.660000,-1.169271,-1.071433,-0.542655,2.746109
2.670000,-1.174639,-1.044213,-0.530933,2.697335
2.680000,-1.179889,-1.017495,-0.519113,2.645900
2.690000,-1.185021,-0.991304,-0.507199,2.591853
2.700000,-1.190033,-0.965666,-0.495196,2.535249
2.710000,-1.194924,-0.940607,-0.483109,2.476142
2.720000,-1.199695,-0.916152,-0.470942,2.414592
